likes,screen_name,text,timestamp,tweet_id,user_id,username,city
1,marlawd,recent cancer patient w longstanding respiratory problems make kinds difficult frustrating decisions minimize attendance large groups going political leadership convention weekend reason coronavirus onpoli,2020-03-06 14:38:24,1235937783283437568,49687037,marla waltman,Toronto
1,marlawd,recent cancer patient w longstanding respiratory problems make kinds difficult frustrating decisions minimize attendance large groups going political leadership convention weekend reason coronavirus onpoli,2020-03-06 14:38:24,1235937783283437568,49687037,marla waltman,Toronto
4,marlawd,im supposed attend ontliberal leadership convention weekend alternate delegate im sure go age reactive lungs cancer 4 week old cough virus make prime candidate coronavirus disappointing frustrating onpoli,2020-03-03 14:10:21,1234843558009544704,49687037,marla waltman,Toronto
4,marlawd,im supposed attend ontliberal leadership convention weekend alternate delegate im sure go age reactive lungs cancer 4 week old cough virus make prime candidate coronavirus disappointing frustrating onpoli,2020-03-03 14:10:21,1234843558009544704,49687037,marla waltman,Toronto
1,ghlake,buy bulk things sale freezer stocked im good except kitty litter must get worried abt supplies scared fr dh cancer copd depressed immune system hospital coronavirus patient yesterday,2020-03-01 02:28:25,1233942136384577536,169051022,linda bowser,Toronto
1,ghlake,buy bulk things sale freezer stocked im good except kitty litter must get worried abt supplies scared fr dh cancer copd depressed immune system hospital coronavirus patient yesterday,2020-03-01 02:28:25,1233942136384577536,169051022,linda bowser,Toronto
149,HumayunJamshed,protect fatal disease like cancer corona virus read last 4 ayats surah muminoon 23 surah 3 times morning 3 times evening,2020-03-06 16:20:04,1235963366046347264,1096312807,humayun jamshed,Toronto
149,HumayunJamshed,protect fatal disease like cancer corona virus read last 4 ayats surah muminoon 23 surah 3 times morning 3 times evening,2020-03-06 16:20:04,1235963366046347264,1096312807,humayun jamshed,Toronto
2,allthebest1959,themandymoore watched walk rememberagain touching also love song cry thanks feels thinking bff lost cancer nov 2018and meant life,2020-03-01 20:02:16,1234207344940257280,1561180506,charlene best,Toronto
1,LadyScorcher,cancer liminal spaces im assuming youve read days recommend,2020-03-01 17:47:17,1234173375054012416,57463142,cheryl white,Toronto
1,ghlake,buy bulk things sale freezer stocked im good except kitty litter must get worried abt supplies scared fr dh cancer copd depressed immune system hospital coronavirus patient yesterday,2020-03-01 02:28:25,1233942136384577536,169051022,linda bowser,Toronto
2,allthebest1959,themandymoore watched walk rememberagain touching also love song cry thanks feels thinking bff lost cancer nov 2018and meant life,2020-03-01 20:02:16,1234207344940257280,1561180506,charlene best,Toronto
1,LadyScorcher,cancer liminal spaces im assuming youve read days recommend,2020-03-01 17:47:17,1234173375054012416,57463142,cheryl white,Toronto
1,ghlake,buy bulk things sale freezer stocked im good except kitty litter must get worried abt supplies scared fr dh cancer copd depressed immune system hospital coronavirus patient yesterday,2020-03-01 02:28:25,1233942136384577536,169051022,linda bowser,Toronto
3,ghlake,canadian healthcare good dh cancer great care bankrupt btw whats wrong helping others thats whats behind fire dept highways public schools national parks fda etc,2020-03-02 21:36:01,1234593325237329920,169051022,linda bowser,Toronto
0,manofthematch,google home sorry dont understand found something similar want know happens cancer eye anyone elses google home respond ghosts roaming apartment also next question statement pictwittercomzwihpqk88n,2020-03-02 18:49:55,1234551528360378368,18783157,adam messinaldo,Toronto
11,ivanics_t,1st toronto liver cancer symposium honoring dr morris sherman amazing talks dr sapisochin role surgery intermediate hcc sapisochin uhntransplant uhnsurgery bclcgroup uhnpictwittercom5ncf46jzdr mars discovery district,2020-03-02 18:34:14,1234547580450664448,935283722273816576,tommy,Toronto
1,ChildLifeMorgan,read childlife activityes programs children ages retinoblastoma siblings play medicalplay creative arts sensory crafts movement music fun cancer oncology paediatrics,2020-03-02 16:53:41,1234522274843299840,437928155,morgan livingstone,Toronto
2,purrepo,always excited learn knowledge exchange initiatives cancer research womxndsto r2rnow womxndsto brings back memories days managed health sevices projects geekpictwittercomab22bvqzii bram bluma appel salon toronto reference library,2020-03-02 15:40:33,1234503870149255168,1031310743021350912,winn,Toronto
15,Samantha_Cass,ive lost another coworker cancer year maria nicest lady trademark calling everyone darling thoughtful missed dutchess,2020-03-02 14:59:27,1234493529759604736,57932245,samantha cass,Toronto
0,Cori_the_Agent,musicmonday today 2008 guitar icon toronto born jeff healey lost life long battle cancer healey lost sight retinoblastoma rare cancer eyes 8 months old,2020-03-02 14:32:07,1234486650320887808,28356613,cori endrody,Toronto
8,dhirparaMD,resharing support colorectalcancerawarenessmonth timely screening investigation red flag sx like rectal bleeding irrespective age key thenewfaceofcrc quereshymd enenbee rising incidence colorectal cancer millennials,2020-03-02 00:55:11,1234281063163154432,1434360618,dhruvin h hirpara,Toronto
3,ghlake,canadian healthcare good dh cancer great care bankrupt btw whats wrong helping others thats whats behind fire dept highways public schools national parks fda etc,2020-03-02 21:36:01,1234593325237329920,169051022,linda bowser,Toronto
0,manofthematch,google home sorry dont understand found something similar want know happens cancer eye anyone elses google home respond ghosts roaming apartment also next question statement pictwittercomzwihpqk88n,2020-03-02 18:49:55,1234551528360378368,18783157,adam messinaldo,Toronto
11,ivanics_t,1st toronto liver cancer symposium honoring dr morris sherman amazing talks dr sapisochin role surgery intermediate hcc sapisochin uhntransplant uhnsurgery bclcgroup uhnpictwittercom5ncf46jzdr mars discovery district,2020-03-02 18:34:14,1234547580450664448,935283722273816576,tommy,Toronto
1,ChildLifeMorgan,read childlife activityes programs children ages retinoblastoma siblings play medicalplay creative arts sensory crafts movement music fun cancer oncology paediatrics,2020-03-02 16:53:41,1234522274843299840,437928155,morgan livingstone,Toronto
2,purrepo,always excited learn knowledge exchange initiatives cancer research womxndsto r2rnow womxndsto brings back memories days managed health sevices projects geekpictwittercomab22bvqzii bram bluma appel salon toronto reference library,2020-03-02 15:40:33,1234503870149255168,1031310743021350912,winn,Toronto
15,Samantha_Cass,ive lost another coworker cancer year maria nicest lady trademark calling everyone darling thoughtful missed dutchess,2020-03-02 14:59:27,1234493529759604736,57932245,samantha cass,Toronto
0,Cori_the_Agent,musicmonday today 2008 guitar icon toronto born jeff healey lost life long battle cancer healey lost sight retinoblastoma rare cancer eyes 8 months old,2020-03-02 14:32:07,1234486650320887808,28356613,cori endrody,Toronto
8,dhirparaMD,resharing support colorectalcancerawarenessmonth timely screening investigation red flag sx like rectal bleeding irrespective age key thenewfaceofcrc quereshymd enenbee rising incidence colorectal cancer millennials,2020-03-02 00:55:11,1234281063163154432,1434360618,dhruvin h hirpara,Toronto
19,tjzmommy,anyone see thyroid ultrasound images hint shouldnt one four years cancerfree please check neck people pictwittercomvl2whwe83d north york general hospital,2020-03-04 22:37:09,1235333487214948352,34404941,quarantine queen,Toronto
26,ali_soheil,launched bmo ride conquer cancer thank adrianclang leadership theontarioride bmopictwittercom6ic6kgra6h,2020-03-04 18:02:00,1235264242263130112,2858030223,ali soheil,Toronto
2,ShaiDeLuca,im telling anything except familys cancer story disaster waiting game ended airlifting israel treatment canadian healthcare wouldnt cover lived stayed hed died,2020-03-04 06:47:37,1235094530229182464,93196250,shai deluca שי דלוקה,Toronto
2,GailYentaBeck,hcldr t1 interest wickipedia extensive list unproven disproven cancer treatments seems always new unusual treatments cancer emerging hope fuels,2020-03-04 01:51:44,1235020067550769152,512654831,dr gail beck,Toronto
19,tjzmommy,anyone see thyroid ultrasound images hint shouldnt one four years cancerfree please check neck people pictwittercomvl2whwe83d north york general hospital,2020-03-04 22:37:09,1235333487214948352,34404941,quarantine queen,Toronto
